id,id_contract,time,amount,consumption
1,1,32,46.1079308725,166
2,2,35,137.801237372,139
3,3,19,53.1674620465,1782
4,4,23,202.841772559,92
5,5,26,25.4150517377,499
6,6,3,53.625912326,1928
7,7,27,89.411490678,719
8,8,35,16.5876683723,620
9,9,32,11.1550105761,47
10,10,32,209.181059518,294
11,11,19,74.2885431756,155
12,12,5,11.2889477318,1127
13,13,8,33.6109492287,1218
14,14,23,49.2045476424,971
15,15,6,25.2150841108,738
16,16,24,21.1600235893,1310
17,17,36,16.2293750466,1926
18,18,11,117.632886647,266
19,19,17,15.8280726505,208
20,20,28,257.38426238,1449
21,21,4,101.58291638,1188
22,22,6,88.9522188129,361
23,23,36,284.165502685,857
24,24,18,29.396368905,1735
25,25,10,40.0752027622,114
26,26,23,14.2856022181,602
27,27,22,54.032308593,1055
28,28,3,0.234647062871,1593
29,29,20,73.7664015737,1161
30,30,21,143.685948676,686
31,31,5,12.8362398673,105
32,32,31,5.73816926236,398
33,33,19,78.233671465,644
34,34,10,123.348756719,1134
35,35,21,18.904601812,11
36,36,30,149.607012057,1068
37,37,18,66.2271655315,1751
38,38,34,18.0439232011,487
39,39,26,28.2907344169,652
40,40,18,8.59894975178,229
41,41,23,40.3999968493,371
42,42,13,54.076109248,1450
43,43,20,41.2208632659,585
44,44,17,0.950090980994,1119
45,45,18,88.9980809426,455
46,46,33,123.418877608,1193
47,47,1,21.6243898063,672
48,48,33,106.818512258,142
49,49,7,69.3526759071,854
50,50,23,9.23222318279,1124
51,51,12,110.757857872,485
52,52,16,52.8853613852,1773
53,53,25,14.6895347392,1135
54,54,10,143.957584776,1947
55,55,8,197.614778899,979
56,56,32,68.5121177335,1129
57,57,27,39.9817254621,1362
58,58,15,89.4318872274,758
59,59,32,56.9201158415,95
60,60,23,74.9147662706,526
61,61,22,47.0691651571,301
62,62,4,13.9431877676,1306
63,63,14,191.302801046,334
64,64,26,185.10941068,430
65,65,35,121.776208492,1874
66,66,19,44.313547731,912
67,67,4,78.681787499,1033
68,68,30,8.41523069025,1260
69,69,20,50.7387660014,562
70,70,7,17.8665555054,571
71,71,34,43.7731871104,1504
72,72,36,17.6768395865,1936
73,73,22,397.61789799,1371
74,74,2,32.7397890902,839
75,75,33,13.321303069,29
76,76,6,0.0516999567124,278
77,77,24,48.45645931,870
78,78,13,27.3632674653,823
79,79,23,68.3527120044,86
80,80,2,5.5252881811,1736
81,81,30,2.17024483398,198
82,82,21,99.0878898491,151
83,83,3,45.8676835241,521
84,84,20,17.8182480706,1844
85,85,36,13.4668005808,1943
86,86,12,5.71038004606,301
87,87,11,115.457688016,18
88,88,2,25.5229654479,1130
89,89,1,60.1769288377,1992
90,90,20,4.29459175175,1842
91,91,27,74.1038366624,547
92,92,35,132.769026984,1699
93,93,35,87.3017345652,628
94,94,34,308.888416862,611
95,95,22,23.276559697,1895
96,96,14,121.308521767,1446
97,97,27,86.0851252237,1539
98,98,27,56.7904672156,473
99,99,15,69.1606193191,316
100,100,35,153.673443002,25
101,101,4,6.45781513232,924
102,102,14,65.9385123188,362
103,103,5,122.672911365,1497
104,104,6,9.43325065577,332
105,105,10,75.6236173601,1058
106,106,8,51.644806445,1556
107,107,19,34.9017053192,155
108,108,33,12.3923172085,361
109,109,35,3.40746429634,1058
110,110,18,105.66087416,10
111,111,32,40.9125749645,394
112,112,25,95.3008312958,1809
113,113,23,224.829972703,1102
114,114,31,140.384459749,350
115,115,19,109.811012749,714
116,116,35,50.8460963639,648
117,117,21,99.323802671,1949
118,118,11,7.15963307438,848
119,119,29,34.8430326492,495
120,120,27,26.1605335386,1606
121,121,18,3.33004834424,1612
122,122,17,149.92346979,1310
123,123,9,113.858606106,59
124,124,3,98.4386479103,1833
125,125,13,24.6538402386,313
126,126,9,5.49750418463,1671
127,127,21,89.6350753681,974
128,128,32,6.1238389802,1668
129,129,26,53.8526055317,768
130,130,9,265.545482352,161
131,131,14,2.02045271521,744
132,132,21,46.2837357453,1751
133,133,34,51.0429894406,210
134,134,24,108.646250745,525
135,135,10,50.3965802344,1231
136,136,26,65.8252119261,54
137,137,5,3.20037275921,53
138,138,16,36.2392184552,992
139,139,5,3.95818019072,1257
140,140,6,66.7182976862,987
141,141,7,93.3441745614,224
142,142,34,4.07326934449,914
143,143,25,3.32545570313,361
144,144,30,122.027220662,69
145,145,24,57.0772131465,972
146,146,36,67.2724839064,829
147,147,28,64.6658035369,1189
148,148,27,217.985550949,596
149,149,34,100.384461269,1035
150,150,36,14.5762677337,1407
151,151,14,89.7650554217,1479
152,152,1,14.6757851825,999
153,153,24,77.3551044361,1531
154,154,11,15.4614424723,699
155,155,13,53.5198445401,1727
156,156,35,18.0399280463,1755
157,157,12,27.0759849101,1122
158,158,22,20.539896576,911
159,159,21,12.7593124726,1272
160,160,28,119.410813671,254
161,161,11,52.9875091174,1073
162,162,24,146.362228967,1975
163,163,26,7.07392098919,400
164,164,15,90.5731125894,395
165,165,8,35.2640269996,590
166,166,20,89.4597289405,1275
167,167,10,49.7237959856,201
168,168,2,29.0384004809,1212
169,169,33,152.978740106,293
170,170,22,9.27695899167,910
171,171,12,87.1483974575,1108
172,172,22,24.5966840765,865
173,173,31,61.2700085066,232
174,174,11,5.43935304041,132
175,175,25,0.299266763649,1817
176,176,7,18.500471989,695
177,177,36,69.7432767653,620
178,178,2,347.872341527,1148
